model_a,model_b,metric,applicable_subset,observed_a_minus_b,ci_low,ci_high,p_value,significant_95,p_value_holm,significant_holm_05
openrouter_gpt4_1,qwen3_5_122b_a10b,low_level_edit_accuracy,all_samples,0.04334809236649168,0.02369336351895067,0.06303698878876841,0.00039996000399960006,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_5_122b_a10b,high_level_score,all_samples,0.05756829330010428,0.03656156378726993,0.07862162792936399,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_5_122b_a10b,relation_conditioned_fidelity,relation_samples_only,0.027826537284752914,-0.009901126739332232,0.06563274917927146,0.1473852614738526,False,0.7369263073692631,False
openrouter_gpt4_1,qwen3_5_122b_a10b,relation_scope_accuracy,relation_samples_only,0.03053995998755584,-0.01085620015126939,0.07306577122639438,0.14458554144585542,False,0.8675132486751325,False
openrouter_gpt4_1,qwen3_5_122b_a10b,relation_edge_consistency,relation_samples_only,0.023756403230548524,-0.014197032497111442,0.06003251097024072,0.20237976202379762,False,0.8927107289271073,False
openrouter_gpt4_1,qwen3_5_122b_a10b,visual_structural_similarity,all_samples,0.03062914367894301,0.019729278223139326,0.04127586893160773,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_5_122b_a10b,preservation_accuracy,all_samples,0.15105761121254507,0.10364998743229938,0.19915599065613931,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_32b,overall_score,all_samples,0.0825218685811142,0.06311909773453517,0.10237335795302246,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_32b,code_executability,all_samples,0.28523489932885904,0.21639140797581677,0.356401384083045,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_32b,low_level_edit_accuracy,all_samples,0.07038315114419433,0.04934019393919642,0.09163888305892216,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_32b,high_level_score,all_samples,0.09104166542890399,0.07169557338950545,0.1111675052884919,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_32b,relation_conditioned_fidelity,relation_samples_only,0.0455465811341006,0.02015248956019124,0.07193353755936362,0.0005999400059994001,True,0.007799220077992201,True
openrouter_gpt4_1,qwen3_vl_32b,relation_scope_accuracy,relation_samples_only,0.04676748000115186,0.01841159209245223,0.07511938864185039,0.000999900009999,True,0.011998800119988001,True
openrouter_gpt4_1,qwen3_vl_32b,relation_edge_consistency,relation_samples_only,0.04371523283352369,0.01807404009287938,0.07198024444585101,0.0005999400059994001,True,0.009599040095990401,True
openrouter_gpt4_1,qwen3_vl_32b,visual_structural_similarity,all_samples,0.047566658784921764,0.03685072644174076,0.05873977326720071,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_32b,preservation_accuracy,all_samples,0.21771336757064494,0.16870807284286007,0.2670907961560028,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,overall_score,all_samples,0.13950640832853073,0.11927651098955269,0.1600674716296843,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,code_executability,all_samples,0.5100671140939598,0.4370860927152318,0.5819397993311036,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,low_level_edit_accuracy,all_samples,0.124512117985798,0.10404595310202604,0.14539990821128804,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,high_level_score,all_samples,0.15001999126985752,0.1292153738142742,0.17119408565208818,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,relation_conditioned_fidelity,relation_samples_only,0.07698181919747762,0.047206496297569456,0.10679827707868127,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,relation_scope_accuracy,relation_samples_only,0.07688874142630238,0.041312284593673296,0.11280723033867297,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,relation_edge_consistency,relation_samples_only,0.07712143585424046,0.048537309889601594,0.10611735969474763,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,visual_structural_similarity,all_samples,0.07371397407762373,0.06291604495117578,0.08505250246377052,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt4_1,qwen3_vl_8b,preservation_accuracy,all_samples,0.37660127467086424,0.3275626814889289,0.4249181793027116,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,overall_score,all_samples,0.1426522706474386,0.11871250278379057,0.16704146835630196,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,code_executability,all_samples,0.3624161073825503,0.3053691275167785,0.4212264353848304,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,low_level_edit_accuracy,all_samples,0.1273659965740642,0.10249906013546763,0.15290357194170828,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,high_level_score,all_samples,0.15372038613709824,0.1295299225946771,0.17845750687150808,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,relation_conditioned_fidelity,relation_samples_only,0.10335464752745378,0.06110557512856831,0.14711811677347492,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,relation_scope_accuracy,relation_samples_only,0.1303205271862229,0.0822213909314781,0.18119550199884452,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,relation_edge_consistency,relation_samples_only,0.06290582803930014,0.022797754298214224,0.10622601948761395,0.0013998600139986002,True,0.019598040195980403,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,visual_structural_similarity,all_samples,0.08178934591486575,0.06781770869282736,0.0959886080887799,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_5_122b_a10b,preservation_accuracy,all_samples,0.3208793303703885,0.27887566156169996,0.36374937829299164,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_vl_32b,overall_score,all_samples,0.17355474597759518,0.14997829844084093,0.19711163207937266,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_vl_32b,code_executability,all_samples,0.40268456375838924,0.34219269102990035,0.4653508023216114,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_vl_32b,low_level_edit_accuracy,all_samples,0.15440105535176682,0.1285164218462015,0.18022869330480107,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_vl_32b,high_level_score,all_samples,0.18719375826589796,0.16437799845511894,0.21024589084873901,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_vl_32b,relation_conditioned_fidelity,relation_samples_only,0.12107469137680148,0.07850902783111312,0.16469140060461157,0.00019998000199980003,True,0.004199580041995801,True
openrouter_gpt5_4_none,qwen3_vl_32b,relation_scope_accuracy,relation_samples_only,0.14654804719981893,0.09849053657166965,0.19575678933340193,0.00019998000199980003,True,0.004199580041995801,True
